"date","w_t0","w_t1","w_t2","w_t3","w_t4","w_t5","w_t6","w_cluster","fomc_d","w_even","w_t2t4t6"
2010-01-25,1,0,0,0,0,0,0,1,-1,1,0
2010-01-26,1,0,0,0,0,0,0,1,0,1,0
2010-01-27,1,0,0,0,0,0,0,1,1,1,0
2010-01-28,1,0,0,0,0,0,0,1,2,1,0
2010-01-29,1,0,0,0,0,0,0,1,3,1,0
2010-02-01,0,1,0,0,0,0,0,2,4,0,0
2010-02-02,0,1,0,0,0,0,0,2,5,0,0
2010-02-03,0,1,0,0,0,0,0,2,6,0,0
2010-02-04,0,1,0,0,0,0,0,2,7,0,0
2010-02-05,0,1,0,0,0,0,0,2,8,0,0
2010-02-08,0,0,1,0,0,0,0,3,9,1,1
2010-02-09,0,0,1,0,0,0,0,3,10,1,1
2010-02-10,0,0,1,0,0,0,0,3,11,1,1
2010-02-11,0,0,1,0,0,0,0,3,12,1,1
2010-02-12,0,0,1,0,0,0,0,3,13,1,1
2010-02-15,0,0,0,1,0,0,0,4,14,0,0
2010-02-16,0,0,0,1,0,0,0,4,15,0,0
2010-02-17,0,0,0,1,0,0,0,4,16,0,0
2010-02-18,0,0,0,1,0,0,0,4,17,0,0
2010-02-19,0,0,0,1,0,0,0,4,18,0,0
2010-02-22,0,0,0,0,1,0,0,5,19,1,1
2010-02-23,0,0,0,0,1,0,0,5,20,1,1
2010-02-24,0,0,0,0,1,0,0,5,21,1,1
2010-02-25,0,0,0,0,1,0,0,5,22,1,1
2010-02-26,0,0,0,0,1,0,0,5,23,1,1
2010-03-01,0,0,0,0,0,1,0,6,24,0,0
2010-03-02,0,0,0,0,0,1,0,6,25,0,0
2010-03-03,0,0,0,0,0,1,0,6,26,0,0
2010-03-04,0,0,0,0,0,1,0,6,27,0,0
2010-03-05,0,0,0,0,0,1,0,6,28,0,0
2010-03-08,0,0,0,0,0,0,1,7,29,1,1
2010-03-09,0,0,0,0,0,0,1,7,30,1,1
2010-03-10,0,0,0,0,0,0,1,7,31,1,1
2010-03-11,0,0,0,0,0,0,1,7,32,1,1
2010-03-12,0,0,0,0,0,0,1,7,33,1,1
2010-03-15,1,0,0,0,0,0,0,8,-1,1,0
2010-03-16,1,0,0,0,0,0,0,8,0,1,0
2010-03-17,1,0,0,0,0,0,0,8,1,1,0
2010-03-18,1,0,0,0,0,0,0,8,2,1,0
2010-03-19,1,0,0,0,0,0,0,8,3,1,0
2010-03-22,0,1,0,0,0,0,0,9,4,0,0
2010-03-23,0,1,0,0,0,0,0,9,5,0,0
2010-03-24,0,1,0,0,0,0,0,9,6,0,0
2010-03-25,0,1,0,0,0,0,0,9,7,0,0
2010-03-26,0,1,0,0,0,0,0,9,8,0,0
2010-03-29,0,0,1,0,0,0,0,10,9,1,1
2010-03-30,0,0,1,0,0,0,0,10,10,1,1
2010-03-31,0,0,1,0,0,0,0,10,11,1,1
2010-04-01,0,0,1,0,0,0,0,10,12,1,1
2010-04-02,0,0,1,0,0,0,0,10,13,1,1
2010-04-05,0,0,0,1,0,0,0,11,14,0,0
2010-04-06,0,0,0,1,0,0,0,11,15,0,0
2010-04-07,0,0,0,1,0,0,0,11,16,0,0
2010-04-08,0,0,0,1,0,0,0,11,17,0,0
2010-04-09,0,0,0,1,0,0,0,11,18,0,0
2010-04-12,0,0,0,0,1,0,0,12,19,1,1
2010-04-13,0,0,0,0,1,0,0,12,20,1,1
2010-04-14,0,0,0,0,1,0,0,12,21,1,1
2010-04-15,0,0,0,0,1,0,0,12,22,1,1
2010-04-16,0,0,0,0,1,0,0,12,23,1,1
2010-04-19,0,0,0,0,0,1,0,13,24,0,0
2010-04-20,0,0,0,0,0,1,0,13,25,0,0
2010-04-21,0,0,0,0,0,1,0,13,26,0,0
2010-04-22,0,0,0,0,0,1,0,13,27,0,0
2010-04-23,0,0,0,0,0,1,0,13,28,0,0
2010-04-26,0,0,0,0,0,0,1,14,29,1,1
2010-04-27,0,0,0,0,0,0,1,14,30,1,1
2010-04-28,0,0,0,0,0,0,1,14,31,1,1
2010-04-29,0,0,0,0,0,0,1,14,32,1,1
2010-04-30,0,0,0,0,0,0,1,14,33,1,1
2010-06-21,1,0,0,0,0,0,0,22,-1,1,0
2010-06-22,1,0,0,0,0,0,0,22,0,1,0
2010-06-23,1,0,0,0,0,0,0,22,1,1,0
2010-06-24,1,0,0,0,0,0,0,22,2,1,0
2010-06-25,1,0,0,0,0,0,0,22,3,1,0
2010-06-28,0,1,0,0,0,0,0,23,4,0,0
2010-06-29,0,1,0,0,0,0,0,23,5,0,0
2010-06-30,0,1,0,0,0,0,0,23,6,0,0
2010-07-01,0,1,0,0,0,0,0,23,7,0,0
2010-07-02,0,1,0,0,0,0,0,23,8,0,0
2010-07-05,0,0,1,0,0,0,0,24,9,1,1
2010-07-06,0,0,1,0,0,0,0,24,10,1,1
2010-07-07,0,0,1,0,0,0,0,24,11,1,1
2010-07-08,0,0,1,0,0,0,0,24,12,1,1
