"date","fomc_w_floor","fomc_w_plus","w_t0","w_t1","w_t2","w_t3","w_t4","w_t5","w_t6"
2014-01-28,0,1,0,0,0,0,0,0,1
2014-01-29,0,1,0,0,0,0,0,0,1
2014-01-30,0,1,0,0,0,0,0,0,1
2014-01-31,0,1,0,0,0,0,0,0,1
2014-02-01,0,1,0,0,0,0,0,0,1
2014-02-02,0,1,0,0,0,0,0,0,1
2014-02-03,0,1,0,0,0,0,0,0,1
2014-02-04,1,2,0,0,0,0,0,1,0
2014-02-05,1,2,0,0,0,0,0,1,0
2014-02-06,1,2,0,0,0,0,0,1,0
2014-02-07,1,2,0,0,0,0,0,1,0
2014-02-08,1,2,0,0,0,0,0,1,0
2014-02-09,1,2,0,0,0,0,0,1,0
2014-02-10,1,2,0,0,0,0,0,1,0
2014-02-11,2,3,0,0,0,0,1,0,0
2014-02-12,2,3,0,0,0,0,1,0,0
2014-02-13,2,3,0,0,0,0,1,0,0
2014-02-14,2,3,0,0,0,0,1,0,0
2014-02-15,2,3,0,0,0,0,1,0,0
2014-02-16,2,3,0,0,0,0,1,0,0
2014-02-17,2,3,0,0,0,0,1,0,0
2014-02-18,3,4,0,0,0,1,0,0,0
2014-02-19,3,4,0,0,0,1,0,0,0
2014-02-20,3,4,0,0,0,1,0,0,0
2014-02-21,3,4,0,0,0,1,0,0,0
2014-02-22,3,4,0,0,0,1,0,0,0
2014-02-23,3,4,0,0,0,1,0,0,0
2014-02-24,3,4,0,0,0,1,0,0,0
2014-02-25,4,5,0,0,1,0,0,0,0
2014-02-26,4,5,0,0,1,0,0,0,0
2014-02-27,4,5,0,0,1,0,0,0,0
2014-02-28,4,5,0,0,1,0,0,0,0
2014-03-01,4,5,0,0,1,0,0,0,0
2014-03-02,4,5,0,0,1,0,0,0,0
2014-03-03,4,5,0,0,1,0,0,0,0
2014-03-04,0,1,0,0,0,0,0,0,1
2014-03-05,0,1,0,0,0,0,0,0,1
2014-03-06,0,1,0,0,0,0,0,0,1
2014-03-07,0,1,0,0,0,0,0,0,1
2014-03-08,0,1,0,0,0,0,0,0,1
2014-03-09,0,1,0,0,0,0,0,0,1
2014-03-10,0,1,0,0,0,0,0,0,1
2014-03-11,1,2,0,0,0,0,0,1,0
2014-03-12,1,2,0,0,0,0,0,1,0
2014-03-13,1,2,0,0,0,0,0,1,0
2014-03-14,1,2,0,0,0,0,0,1,0
2014-03-15,1,2,0,0,0,0,0,1,0
2014-03-16,1,2,0,0,0,0,0,1,0
2014-03-17,1,2,0,0,0,0,0,1,0
2014-03-18,0,1,0,0,0,0,0,0,1
2014-03-19,0,1,0,0,0,0,0,0,1
2014-03-20,0,1,0,0,0,0,0,0,1
2014-03-21,0,1,0,0,0,0,0,0,1
2014-03-22,0,1,0,0,0,0,0,0,1
2014-03-23,0,1,0,0,0,0,0,0,1
2014-03-24,0,1,0,0,0,0,0,0,1
2014-03-25,1,2,0,0,0,0,0,1,0
2014-03-26,1,2,0,0,0,0,0,1,0
2014-03-27,1,2,0,0,0,0,0,1,0
2014-03-28,1,2,0,0,0,0,0,1,0
2014-03-29,1,2,0,0,0,0,0,1,0
2014-03-30,1,2,0,0,0,0,0,1,0
2014-03-31,1,2,0,0,0,0,0,1,0
2014-04-01,2,3,0,0,0,0,1,0,0
2014-04-02,2,3,0,0,0,0,1,0,0
2014-04-03,2,3,0,0,0,0,1,0,0
2014-04-04,2,3,0,0,0,0,1,0,0
2014-04-05,2,3,0,0,0,0,1,0,0
2014-04-06,2,3,0,0,0,0,1,0,0
2014-04-07,2,3,0,0,0,0,1,0,0
2014-04-08,3,4,0,0,0,1,0,0,0
2014-04-09,3,4,0,0,0,1,0,0,0
2014-04-10,3,4,0,0,0,1,0,0,0
2014-04-11,3,4,0,0,0,1,0,0,0
2014-04-12,3,4,0,0,0,1,0,0,0
2014-04-13,3,4,0,0,0,1,0,0,0
2014-04-14,3,4,0,0,0,1,0,0,0
2014-04-15,4,5,0,0,1,0,0,0,0
