"date","sp500","sp500_d1","sp500_lag5_fw","sp500_lag5_bw","sp500_lag5_fw_d1","sp500_lag5_bw_d1","sp500_5day_fw","sp500_5day_fw_diff"
2014-01-28,1792.5,-18.3,0,1755.2,0,-3.56,-37.3,14.74
2014-01-29,1774.2,19.99,0,1751.64,0,21.79,-22.56,1.8
2014-01-30,1794.19,-11.6,0,1773.43,0,23.59,-20.76,35.19
2014-01-31,1782.59,-40.7,0,1797.02,0,2.82,14.43,43.52
2014-02-03,1741.89,13.31,0,1799.84,1792.5,19.91,57.95,6.6
2014-02-04,1755.2,-3.56,1792.5,1819.75,-18.3,-0.49,64.55,3.07
2014-02-05,1751.64,21.79,1774.2,1819.26,19.99,10.57,67.62,-11.22
2014-02-06,1773.43,23.59,1794.19,1829.83,-11.6,8.8,56.4,-14.79
2014-02-07,1797.02,2.82,1782.59,1838.63,-40.7,2.13,41.61,-0.69
2014-02-10,1799.84,19.91,1741.89,1840.76,13.31,-12.01,40.92,-31.92
2014-02-11,1819.75,-0.49,1755.2,1828.75,-3.56,11.03,9,11.52
2014-02-12,1819.26,10.57,1751.64,1839.78,21.79,-3.53,20.52,-14.1
2014-02-13,1829.83,8.8,1773.43,1836.25,23.59,11.36,6.42,2.56
2014-02-14,1838.63,2.13,1797.02,1847.61,2.82,-2.49,8.98,-4.62
2014-02-18,1840.76,-12.01,1799.84,1845.12,19.91,0.04,4.36,12.05
2014-02-19,1828.75,11.03,1819.75,1845.16,-0.49,9.13,16.41,-1.9
2014-02-20,1839.78,-3.53,1819.26,1854.29,10.57,5.16,14.51,8.69
2014-02-21,1836.25,11.36,1829.83,1859.45,8.8,-13.72,23.2,-25.08
2014-02-24,1847.61,-2.49,1838.63,1845.73,2.13,28.18,-1.88,30.67
2014-02-25,1845.12,0.04,1840.76,1873.91,-12.01,-0.1,28.79,-0.14
2014-02-26,1845.16,9.13,1828.75,1873.81,11.03,3.22,28.65,-5.91
2014-02-27,1854.29,5.16,1839.78,1877.03,-3.53,1.01,22.74,-4.15
2014-02-28,1859.45,-13.72,1836.25,1878.04,11.36,-0.87,18.59,12.85
2014-03-03,1845.73,28.18,1847.61,1877.17,-2.49,-9.54,31.44,-37.72
2014-03-04,1873.91,-0.1,1845.12,1867.63,0.04,0.57,-6.28,0.67
2014-03-05,1873.81,3.22,1845.16,1868.2,9.13,-21.86,-5.61,-25.08
2014-03-06,1877.03,1.01,1854.29,1846.34,5.16,-5.21,-30.69,-6.22
2014-03-07,1878.04,-0.87,1859.45,1841.13,-13.72,17.7,-36.91,18.57
2014-03-10,1877.17,-9.54,1845.73,1858.83,28.18,13.42,-18.34,22.96
2014-03-11,1867.63,0.57,1873.91,1872.25,-0.1,-11.48,4.62,-12.05
