"date","Mkt.RF","SMB","HML","RF","Exc_ret_t1","Exc_ret_t5","Mkt.RF.mult"
2010-01-25,0.37,-0.21,0.33,0,10427.6590589231,99.03,1.0037
2010-01-26,-0.45,-0.1,-0.48,0,10380.7345931579,101.39,0.9955
2010-01-27,0.53,0.23,0.22,0,10435.7524865016,101.21,1.0053
2010-01-28,-1.18,-0.68,0.43,0,10312.6106071609,99.51,0.9882
2010-01-29,-0.97,-0.04,-0.42,0,10212.5782842715,96.86,0.9903
2010-02-01,1.39,-0.21,0.88,0,10354.5331224228,100.29,1.0139
2010-02-02,1.21,-0.4,0.64,0,10479.8229732041,99.21,1.0121
2010-02-03,-0.49,0.06,-0.37,0,10428.4718406354,101.33,0.9951
2010-02-04,-3.14,-0.13,-1.17,0,10101.0178248395,99.83,0.9686
2010-02-05,0.29,-0.02,0.01,0,10130.3107765315,101.13,1.0029
2010-02-08,-0.79,0.05,-0.36,0,10050.2813213969,99.93,0.9921
2010-02-09,1.33,0.32,0.57,0,10183.9500629715,101.75,1.0133
2010-02-10,-0.17,0.26,0.31,0,10166.6373478645,100.49,0.9983
2010-02-11,1.13,0.73,0.05,0,10281.5203498953,100.62,1.0113
2010-02-12,-0.07,0.99,0.15,0,10274.3232856504,100.28,0.9993
2010-02-16,1.75,-0.31,1.01,0,10454.1239431493,99.95,1.0175
2010-02-17,0.49,0.09,0.12,0,10505.3491504707,98.76,1.0049
2010-02-18,0.62,0.09,0.01,0,10570.4823152036,100.94,1.0062
2010-02-19,0.28,0.06,0.48,0,10600.0796656862,99.87,1.0028
2010-02-22,-0.05,-0.05,0.6,0,10594.7796258534,100.13,0.9995
2010-02-23,-1.24,0.32,-0.94,0,10463.4043584928,101.2,0.9876
2010-02-24,0.94,-0.37,0.54,0,10561.7603594626,100.32,1.0094
2010-02-25,-0.13,0.22,0.26,0,10548.0300709953,100.09,0.9987
2010-02-26,0.13,-0.57,0.42,0,10561.7425100876,100.37,1.0013
2010-03-01,1.2,1.23,0.04,0,10688.4834202087,101.43,1.012
2010-03-02,0.32,0.62,0.19,0,10722.6865671533,100.02,1.0032
2010-03-03,0.09,0.16,0.09,0,10732.3369850638,100.21,1.0009
2010-03-04,0.37,0.11,0.2,0,10772.0466319085,100.53,1.0037
2010-03-05,1.43,0.41,0.63,0,10926.0868987448,100.43,1.0143
2010-03-08,0.02,0.09,0.3,0,10928.2721161245,99.98,1.0002
2010-03-09,0.21,0.25,-0.09,0,10951.2214875684,99.98,1.0021
2010-03-10,0.53,0.07,0.71,0,11009.2629614525,100.78,1.0053
2010-03-11,0.43,-0.08,-0.09,0,11056.6027921868,100.57,1.0043
2010-03-12,-0.02,0.03,-0.26,0,11054.3914716283,99.9,0.9998
2010-03-15,-0.02,-0.32,-0.45,0,11052.180593334,99.38,0.9998
2010-03-16,0.78,-0.15,0.57,0,11138.387601962,100.67,1.0078
2010-03-17,0.57,0.06,0.36,0,11201.8764112932,100.8,1.0057
2010-03-18,-0.1,-0.16,-0.57,0,11190.6745348819,99.4,0.999
2010-03-19,-0.62,-0.61,-0.63,0,11121.2923527656,99.74,0.9938
2010-03-22,0.67,0.87,0.04,0,11195.8050115292,100.06,1.0067
2010-03-23,0.8,0.34,0.34,0,11285.3714516214,100.59,1.008
2010-03-24,-0.6,-0.63,0.8,0,11217.6592229117,100.04,0.994
2010-03-25,-0.26,-0.46,-0.25,0,11188.4933089321,99.64,0.9974
2010-03-26,0.06,-0.11,0.26,0,11195.2064049174,100.75,1.0006
2010-03-29,0.59,-0.1,0.2,0,11261.2581227065,100.95,1.0059
2010-03-30,0.04,0.29,-0.45,0,11265.7626259555,100.19,1.0004
2010-03-31,-0.36,-0.51,0.2,0,11225.2058805021,99.52,0.9964
2010-04-01,0.75,-0.04,0.79,1,11309.3949246059,100.31,1.0075
2010-04-05,0.95,1.04,0.85,1,11416.8341763896,100.66,1.0095
2010-04-06,0.19,0.24,0.48,1,11438.5261613248,100.23,1.0019
2010-04-07,-0.48,0.19,0.27,1,11383.6212357504,100.07,0.9952
2010-04-08,0.31,-0.3,0.36,1,11418.9104615812,101.24,1.0031
2010-04-09,0.66,-0.14,0.15,1,11494.2752706277,100.11,1.0066
2010-04-12,0.23,0.27,0.07,1,11520.7121037501,98.47,1.0023
2010-04-13,0.07,0.16,-0.07,1,11528.7766022227,100.28,1.0007
2010-04-14,1.24,0.87,1.43,1,11671.7334320903,100.88,1.0124
2010-04-15,0.11,0.59,-0.04,1,11684.5723388656,99.94,1.0011
2010-04-16,-1.53,0.84,-1.88,1,11505.798382081,100.37,0.9847
2010-04-19,0.28,-0.87,-0.04,1,11538.0146175508,100.7,1.0028
2010-04-20,0.88,0.65,0.58,1,11639.5491461852,99.57,1.0088
2010-04-21,-0.06,0.72,0.18,1,11632.5654166975,97.66,0.9994
2010-04-22,0.37,0.8,0.54,1,11675.6059087393,100.56,1.0037
2010-04-23,0.7,0.33,0.59,1,11757.3351501005,101.34,1.007
2010-04-26,-0.43,0.49,-0.4,1,11706.778608955,98.28,0.9957
2010-04-27,-2.34,0.12,-1.35,1,11432.8399895055,101.36,0.9766
2010-04-28,0.56,-0.74,0.7,1,11496.8638934467,97.5,1.0056
2010-04-29,1.34,0.43,0.56,1,11650.9218696189,99.25,1.0134
2010-04-30,-1.72,-0.97,-0.88,1,11450.5260134615,96.73,0.9828
2010-05-03,1.36,0.62,0.6,1,11606.2531672445,98.25,1.0136
2010-05-04,-2.5,-0.56,-0.92,1,11316.0968380634,104.47,0.975
2010-05-05,-0.75,-0.74,-0.59,1,11231.2261117779,99.83,0.9925
2010-05-06,-3.27,-0.27,-0.9,1,10863.9650179228,101.63,0.9673
2010-05-07,-1.75,-1.3,-0.5,1,10673.8456301092,98.88,0.9825
2010-05-10,4.47,0.95,1.21,1,11150.966529775,98.08,1.0447
2010-05-11,-0.17,1.15,-0.14,1,11132.0098866744,100.11,0.9983
2010-05-12,1.63,1.47,0.15,1,11313.4616478272,98.59,1.0163
2010-05-13,-1.12,0.32,-0.32,1,11186.7508773715,99.37,0.9888
2010-05-14,-1.92,-0.25,-0.76,1,10971.965260526,96.01,0.9808
2010-05-17,0.11,0.07,-0.59,1,10984.0344223126,101.44,1.0011
2010-05-18,-1.41,-0.23,-0.96,1,10829.159536958,98.81,0.9859
2010-05-19,-0.63,-0.96,0.03,1,10760.9358318752,99.97,0.9937
2010-05-20,-3.99,-0.9,-1.19,1,10331.5744921833,99.65,0.9601
2010-05-21,1.44,-0.46,1.58,1,10480.3491648708,103.45,1.0144
2010-05-24,-1.19,0.3,-0.89,1,10355.6330098088,98.82,0.9881
2010-05-25,-0.03,-0.48,0.56,1,10352.5263199059,98.11,0.9997
2010-05-26,-0.35,0.83,0.4,1,10316.2924777862,102.63,0.9965
2010-05-27,3.45,0.63,1.61,1,10672.2045682698,100.54,1.0345
2010-05-28,-1.18,0.1,-0.68,1,10546.2725543642,96.38,0.9882
2010-06-01,-1.89,-1.02,-1.63,1,10346.9480030868,98.48,0.9811
2010-06-02,2.63,0.18,0.41,1,10619.0727355679,100.91,1.0263
2010-06-03,0.54,0.72,-0.28,1,10676.41572834,99.54,1.0054
2010-06-04,-3.62,-1.22,-0.67,1,10289.9294789741,102.95,0.9638
2010-06-07,-1.52,-1.09,-1.01,1,10133.5225508937,100.62,0.9848
2010-06-08,0.91,-1.42,0.11,1,10225.7376061068,99.94,1.0091
2010-06-09,-0.46,0.75,-0.2,1,10178.6992131187,102.36,0.9954
2010-06-10,2.95,0.38,0.87,1,10478.9708399057,99.89,1.0295
2010-06-11,0.62,0.95,0.05,1,10543.9404591131,100.08,1.0062
2010-06-14,-0.06,0.65,-0.01,1,10537.6140948377,100.13,0.9994
2010-06-15,2.36,0.07,0.89,1,10786.3017874759,99.53,1.0236
2010-06-16,-0.11,-0.19,-0.31,1,10774.4368555096,98.37,0.9989
2010-06-17,0.08,-0.14,-0.49,1,10783.056404994,99.71,1.0008
2010-06-18,0.13,-0.03,0.24,1,10797.0743783205,98.35,1.0013
2010-06-21,-0.47,-0.55,-0.02,1,10746.3281287424,100.48,0.9953
2010-06-22,-1.63,-0.34,-0.74,1,10571.1629802439,99.77,0.9837
2010-06-23,-0.29,-0.04,0.22,1,10540.5066076012,96.77,0.9971
2010-06-24,-1.65,0.14,-0.9,1,10366.5882485758,99.02,0.9835
2010-06-25,0.48,1.03,1.07,1,10416.347872169,99.6,1.0048
2010-06-28,-0.23,-0.02,-0.77,1,10392.390272063,99.5,0.9977
2010-06-29,-3.23,-0.64,-1.29,1,10056.7160662753,100.33,0.9677
2010-06-30,-0.98,0.05,-0.34,1,9958.16024882583,103.17,0.9902
2010-07-01,-0.4,-0.31,-0.43,1,9918.32760783053,101,0.996
2010-07-02,-0.5,-0.3,-0.44,1,9868.73596979138,100.81,0.995
2010-07-06,0.33,-1.99,0.11,1,9901.30279849169,99.89,1.0033
2010-07-07,3.17,0.05,0.43,1,10215.1740972039,101.76,1.0317
2010-07-08,1,0.58,0,1,10317.3258381759,99.96,1.01
2010-07-09,0.81,0.67,0.61,1,10400.8961774651,100.02,1.0081
2010-07-12,-0.11,-1.18,0.11,1,10389.4551916699,97.06,0.9989
2010-07-13,1.76,1.61,0.63,1,10572.3096030433,100.54,1.0176
2010-07-14,-0.04,-0.15,-0.81,1,10568.0806792021,101.23,0.9996
2010-07-15,0.02,-0.88,-0.13,1,10570.1942953379,98.7,1.0002
2010-07-16,-2.94,-0.55,-0.93,1,10259.430583055,102.37,0.9706
2010-07-19,0.54,-0.16,-0.2,1,10314.8315082035,101.05,1.0054
2010-07-20,1.23,0.66,0.05,1,10441.7039357544,101.23,1.0123
2010-07-21,-1.3,-0.39,-0.44,1,10305.9617845896,99.77,0.987
2010-07-22,2.37,1.24,0.58,1,10550.2130788844,99.18,1.0237
2010-07-23,1.05,1.45,-0.31,1,10660.9903162127,99.64,1.0105
2010-07-26,1.23,0.88,0.15,1,10792.1204971021,100.06,1.0123
2010-07-27,-0.23,-0.33,0.35,1,10767.2986199587,102.09,0.9977
2010-07-28,-0.82,-0.88,0.04,1,10679.0067712751,99.44,0.9918
2010-07-29,-0.36,0.3,0.64,1,10640.5623468985,100.74,0.9964
2010-07-30,0.06,0.05,-0.21,1,10646.9466843066,99.78,1.0006
2010-08-02,2.09,-0.55,0.13,1,10869.4678700086,99.64,1.0209
2010-08-03,-0.56,-0.38,-0.5,1,10808.5988499366,100.62,0.9944
2010-08-04,0.74,0.45,-0.1,1,10888.5824814261,99.21,1.0074
2010-08-05,-0.22,-0.86,0.14,1,10864.627599967,97.09,0.9978
2010-08-06,-0.36,-0.16,-0.37,1,10825.5149406071,99.5,0.9964
2010-08-09,0.62,0.62,0.08,1,10892.6331332389,99.53,1.0062
2010-08-10,-0.79,-1.23,-0.23,1,10806.5813314863,100.1,0.9921
2010-08-11,-2.91,-1.08,-0.64,1,10492.10981474,101.31,0.9709
2010-08-12,-0.5,-0.06,-0.06,1,10439.6492656663,100.21,0.995
2010-08-13,-0.47,-0.79,0.24,1,10390.5829141177,98.26,0.9953
2010-08-16,0.1,0.93,-0.18,1,10400.9734970318,99.72,1.001
2010-08-17,1.31,0.58,-0.26,1,10537.2262498429,99.5,1.0131
2010-08-18,0.21,0.07,0.08,1,10559.3544249676,98.52,1.0021
2010-08-19,-1.74,-0.83,-0.41,1,10375.6216579732,100.45,0.9826
2010-08-20,-0.28,0.28,-0.22,1,10346.5699173308,99.24,0.9972
2010-08-23,-0.5,-0.94,-0.41,1,10294.8370677442,101.82,0.995
2010-08-24,-1.48,0.14,0.16,1,10142.4734791416,98.46,0.9852
2010-08-25,0.45,1.05,0,1,10188.1146097977,100.01,1.0045
2010-08-26,-0.76,-0.07,-0.25,1,10110.6849387632,103.05,0.9924
2010-08-27,1.82,0.95,0.37,1,10294.6994046487,100.97,1.0182
2010-08-30,-1.54,-0.85,-0.42,1,10136.1610338171,101.35,0.9846
2010-08-31,0.01,-0.26,0.81,1,10137.1746499205,98.77,1.0001
2010-09-01,3.05,0.63,0.47,1,10446.3584767431,100.65,1.0305
2010-09-02,0.97,0.26,-0.36,1,10547.6881539675,100.44,1.0097
2010-09-03,1.35,0.35,0.22,1,10690.0819440461,100.45,1.0135
2010-09-07,-1.23,-0.79,-0.77,1,10558.5939361343,101.3,0.9877
2010-09-08,0.65,0.04,0.17,1,10627.2247967192,99.94,1.0065
2010-09-09,0.44,-0.5,0.56,1,10673.9845858247,100.36,1.0044
2010-09-10,0.45,-0.09,-0.16,1,10722.0175164609,99.93,1.0045
2010-09-13,1.3,1.13,0.23,1,10861.4037441749,100.15,1.013
2010-09-14,-0.06,-0.23,-0.52,1,10854.8869019284,101.6,0.9994
2010-09-15,0.36,0.11,-0.18,1,10893.9644947754,99.69,1.0036
2010-09-16,-0.07,-0.52,-0.67,1,10886.338719629,99.48,0.9993
2010-09-17,0.15,0.62,-0.6,1,10902.6682277085,99.22,1.0015
2010-09-20,1.6,1.14,0.23,1,11077.1109193518,102.19,1.016
2010-09-21,-0.31,-0.28,-0.3,1,11042.7718755018,99.54,0.9969
2010-09-22,-0.52,-0.56,-0.6,1,10985.3494617492,100.58,0.9948
2010-09-23,-0.78,-0.06,-0.69,1,10899.6637359476,99.83,0.9922
2010-09-24,2.19,0.99,0.51,1,11138.3663717648,99.74,1.0219
2010-09-27,-0.46,0.2,-0.49,1,11087.1298864547,100.43,0.9954
2010-09-28,0.58,0.52,0.1,1,11151.4352397961,99.12,1.0058
2010-09-29,-0.17,0.66,-0.25,1,11132.4777998885,102.11,0.9983
2010-09-30,-0.26,0.05,0.29,1,11103.5333576088,99.9,0.9974
2010-10-01,0.43,-0.06,0.21,1,11151.2785510465,99.84,1.0043
2010-10-04,-0.88,-0.71,-0.04,1,11053.1472997973,100.74,0.9912
2010-10-05,2.11,0.78,0.16,1,11286.368707823,100.04,1.0211
2010-10-06,-0.1,-0.38,0.46,1,11275.0823391152,100.39,0.999
2010-10-07,-0.16,0.05,-0.29,1,11257.0422073726,100.78,0.9984
2010-10-08,0.74,0.96,-0.19,1,11340.3443197072,99.62,1.0074
2010-10-11,0.04,0.05,-0.2,1,11344.880457435,100.18,1.0004
