"date","Mkt.RF","RF"
2014-01-28,0.73,0
2014-01-29,-1.07,0
2014-01-30,1.22,0
2014-01-31,-0.66,0
2014-02-03,-2.49,0
2014-02-04,0.77,0
2014-02-05,-0.23,0
2014-02-06,1.21,0
2014-02-07,1.33,0
2014-02-10,0.16,0
2014-02-11,1.09,0
2014-02-12,0.11,0
2014-02-13,0.72,0
2014-02-14,0.42,0
2014-02-18,0.27,0
2014-02-19,-0.74,0
2014-02-20,0.7,0
2014-02-21,-0.09,0
2014-02-24,0.65,0
2014-02-25,-0.1,0
2014-02-26,0.12,0
2014-02-27,0.54,0
2014-02-28,0.15,0
2014-03-03,-0.7,0
2014-03-04,1.67,0
2014-03-05,0.01,0
2014-03-06,0.16,0
2014-03-07,0.04,0
2014-03-10,-0.09,0
2014-03-11,-0.62,0
2014-03-12,0.13,0
2014-03-13,-1.21,0
2014-03-14,-0.16,0
2014-03-17,0.9,0
2014-03-18,0.82,0
2014-03-19,-0.59,0
2014-03-20,0.52,0
2014-03-21,-0.37,0
2014-03-24,-0.64,0
2014-03-25,0.3,0
2014-03-26,-0.89,0
2014-03-27,-0.19,0
2014-03-28,0.41,0
2014-03-31,0.97,0
2014-04-01,0.87,0
2014-04-02,0.29,0
2014-04-03,-0.31,0
2014-04-04,-1.47,0
2014-04-07,-1.26,0
2014-04-08,0.5,0
2014-04-09,1.21,0
2014-04-10,-2.24,0
2014-04-11,-1.07,0
2014-04-14,0.7,0
2014-04-15,0.59,0
2014-04-16,1.13,0
2014-04-17,0.23,0
2014-04-21,0.36,0
2014-04-22,0.58,0
2014-04-23,-0.31,0
2014-04-24,0.08,0
2014-04-25,-1.05,0
2014-04-28,0.11,0
2014-04-29,0.56,0
2014-04-30,0.35,0
2014-05-01,0.04,0
2014-05-02,-0.07,0
2014-05-05,0.13,0
2014-05-06,-1.03,0
2014-05-07,0.45,0
2014-05-08,-0.26,0
2014-05-09,0.25,0
2014-05-12,1.2,0
2014-05-13,-0.05,0
2014-05-14,-0.6,0
2014-05-15,-0.9,0
2014-05-16,0.36,0
2014-05-19,0.5,0
2014-05-20,-0.78,0
2014-05-21,0.81,0
2014-05-22,0.36,0
2014-05-23,0.49,0
2014-05-27,0.69,0
2014-05-28,-0.11,0
2014-05-29,0.54,0
2014-05-30,0.06,0
2014-06-02,0.06,0
2014-06-03,-0.05,0
2014-06-04,0.28,0
2014-06-05,0.77,0
2014-06-06,0.54,0
2014-06-09,0.22,0
2014-06-10,-0.03,0
2014-06-11,-0.34,0
2014-06-12,-0.68,0
2014-06-13,0.31,0
2014-06-16,0.13,0
2014-06-17,0.34,0
2014-06-18,0.75,0
2014-06-19,0.12,0
2014-06-20,0.18,0
2014-06-23,-0.01,0
2014-06-24,-0.72,0
2014-06-25,0.53,0
2014-06-26,-0.11,0
2014-06-27,0.26,0
2014-06-30,0.07,0
2014-07-01,0.74,0
2014-07-02,-0.03,0
2014-07-03,0.59,0
2014-07-07,-0.62,0
2014-07-08,-0.82,0
2014-07-09,0.46,0
2014-07-10,-0.49,0
2014-07-11,0.12,0
2014-07-14,0.46,0
2014-07-15,-0.32,0
2014-07-16,0.32,0
2014-07-17,-1.21,0
2014-07-18,1.12,0
2014-07-21,-0.25,0
2014-07-22,0.53,0
2014-07-23,0.19,0
2014-07-24,0.05,0
2014-07-25,-0.53,0
2014-07-28,-0.08,0
2014-07-29,-0.33,0
2014-07-30,0.12,0
2014-07-31,-2.03,0
2014-08-01,-0.32,0
2014-08-04,0.74,0
2014-08-05,-0.84,0
2014-08-06,0.02,0
2014-08-07,-0.52,0
2014-08-08,1.12,0
2014-08-11,0.4,0
2014-08-12,-0.23,0
2014-08-13,0.69,0
2014-08-14,0.44,0
2014-08-15,0,0
2014-08-18,0.93,0
2014-08-19,0.49,0
2014-08-20,0.19,0
2014-08-21,0.28,0
2014-08-22,-0.1,0
2014-08-25,0.5,0
2014-08-26,0.19,0
2014-08-27,0,0
2014-08-28,-0.19,0
2014-08-29,0.39,0
2014-09-02,0.06,0
2014-09-03,-0.14,0
2014-09-04,-0.17,0
2014-09-05,0.45,0
2014-09-08,-0.22,0
2014-09-09,-0.72,0
2014-09-10,0.45,0
2014-09-11,0.19,0
2014-09-12,-0.55,0
2014-09-15,-0.28,0
2014-09-16,0.7,0
2014-09-17,0.17,0
2014-09-18,0.5,0
2014-09-19,-0.18,0
2014-09-22,-0.97,0
2014-09-23,-0.62,0
2014-09-24,0.81,0
2014-09-25,-1.62,0
2014-09-26,0.85,0
2014-09-29,-0.22,0
2014-09-30,-0.4,0
2014-10-01,-1.39,0
2014-10-02,0.15,0
2014-10-03,1.08,0
2014-10-06,-0.26,0
2014-10-07,-1.56,0
2014-10-08,1.7,0
2014-10-09,-2.17,0
2014-10-10,-1.3,0
2014-10-13,-1.59,0
2014-10-14,0.28,0
2014-10-15,-0.54,0
2014-10-16,0.22,0
2014-10-17,1.14,0
2014-10-20,0.94,0
2014-10-21,1.98,0
2014-10-22,-0.85,0
2014-10-23,1.29,0
2014-10-24,0.66,0
2014-10-27,-0.17,0
2014-10-28,1.37,0
2014-10-29,-0.18,0
2014-10-30,0.6,0
2014-10-31,1.23,0
2014-11-03,-0.01,0
2014-11-04,-0.35,0
2014-11-05,0.48,0
2014-11-06,0.49,0
2014-11-07,0.09,0
2014-11-10,0.33,0
2014-11-11,0.1,0
2014-11-12,0.07,0
2014-11-13,-0.03,0
2014-11-14,0.06,0
2014-11-17,-0.05,0
2014-11-18,0.51,0
2014-11-19,-0.21,0
2014-11-20,0.31,0
2014-11-21,0.48,0
2014-11-24,0.4,0
2014-11-25,-0.09,0
2014-11-26,0.3,0
2014-11-28,-0.34,0
2014-12-01,-0.89,0
2014-12-02,0.65,0
2014-12-03,0.46,0
2014-12-04,-0.17,0
2014-12-05,0.25,0
2014-12-08,-0.82,0
2014-12-09,0.13,0
2014-12-10,-1.72,0
2014-12-11,0.5,0
2014-12-12,-1.55,0
2014-12-15,-0.68,0
2014-12-16,-0.8,0
2014-12-17,2.15,0
2014-12-18,2.36,0
2014-12-19,0.43,0
2014-12-22,0.37,0
2014-12-23,0.21,0
2014-12-24,0.07,0
2014-12-26,0.39,0
2014-12-29,0.13,0
2014-12-30,-0.48,0
2014-12-31,-0.93,0
2015-01-02,-0.12,0
2015-01-05,-1.84,0
2015-01-06,-1.04,0
2015-01-07,1.19,0
2015-01-08,1.81,0
2015-01-09,-0.85,0
2015-01-12,-0.79,0
2015-01-13,-0.19,0
2015-01-14,-0.6,0
2015-01-15,-1.08,0
2015-01-16,1.36,0
2015-01-20,0.11,0
2015-01-21,0.42,0
2015-01-22,1.58,0
2015-01-23,-0.47,0
2015-01-26,0.43,0
2015-01-27,-1.21,0
2015-01-28,-1.39,0
2015-01-29,0.98,0
2015-01-30,-1.31,0
2015-02-02,1.24,0
2015-02-03,1.49,0
2015-02-04,-0.35,0
2015-02-05,1.1,0
2015-02-06,-0.2,0
2015-02-09,-0.46,0
2015-02-10,1.05,0
2015-02-11,0.03,0
2015-02-12,1,0
2015-02-13,0.47,0
2015-02-17,0.17,0
2015-02-18,0.03,0
2015-02-19,-0.01,0
2015-02-20,0.61,0
2015-02-23,-0.08,0
2015-02-24,0.32,0
2015-02-25,0.02,0
2015-02-26,-0.08,0
2015-02-27,-0.36,0
2015-03-02,0.62,0
2015-03-03,-0.43,0
2015-03-04,-0.41,0
2015-03-05,0.15,0
2015-03-06,-1.29,0
2015-03-09,0.37,0
2015-03-10,-1.63,0
2015-03-11,-0.04,0
2015-03-12,1.28,0
2015-03-13,-0.57,0
2015-03-16,1.23,0
2015-03-17,-0.2,0
2015-03-18,1.08,0
2015-03-19,-0.36,0
2015-03-20,0.81,0
2015-03-23,-0.19,0
2015-03-24,-0.51,0
2015-03-25,-1.56,0
2015-03-26,-0.22,0
2015-03-27,0.32,0
2015-03-30,1.24,0
2015-03-31,-0.75,0
2015-04-01,-0.38,0
2015-04-02,0.35,0
2015-04-06,0.61,0
2015-04-07,-0.22,0
2015-04-08,0.37,0
2015-04-09,0.41,0
2015-04-10,0.49,0
2015-04-13,-0.38,0
2015-04-14,0.1,0
2015-04-15,0.57,0
2015-04-16,-0.08,0
2015-04-17,-1.23,0
2015-04-20,0.95,0
2015-04-21,-0.1,0
2015-04-22,0.46,0
2015-04-23,0.29,0
2015-04-24,0.17,0
2015-04-27,-0.54,0
2015-04-28,0.27,0
2015-04-29,-0.38,0
2015-04-30,-1.11,0
2015-05-01,1.01,0
