"date","w_t0","w_t1","w_t2","w_t3","w_t4","w_t5","w_t6","w_cluster","w_tm1","fomc_d","w_even","w_t2t4t6"
2013-12-10,0,0,0,0,0,0,0,0,1,-6,0,0
2013-12-11,0,0,0,0,0,0,0,0,1,-5,0,0
2013-12-12,0,0,0,0,0,0,0,0,1,-4,0,0
2013-12-13,0,0,0,0,0,0,0,0,1,-3,0,0
2013-12-16,0,0,0,0,0,0,0,1,1,-2,0,0
2013-12-17,1,0,0,0,0,0,0,1,0,-1,1,0
2013-12-18,1,0,0,0,0,0,0,1,0,0,1,0
2013-12-19,1,0,0,0,0,0,0,1,0,1,1,0
2013-12-20,1,0,0,0,0,0,0,1,0,2,1,0
2013-12-23,1,0,0,0,0,0,0,2,0,3,1,0
2013-12-24,0,1,0,0,0,0,0,2,0,4,0,0
2013-12-25,0,1,0,0,0,0,0,2,0,5,0,0
2013-12-26,0,1,0,0,0,0,0,2,0,6,0,0
2013-12-27,0,1,0,0,0,0,0,2,0,7,0,0
2013-12-30,0,1,0,0,0,0,0,3,0,8,0,0
2013-12-31,0,0,1,0,0,0,0,3,0,9,1,1
2014-01-01,0,0,1,0,0,0,0,3,0,10,1,1
2014-01-02,0,0,1,0,0,0,0,3,0,11,1,1
2014-01-03,0,0,1,0,0,0,0,3,0,12,1,1
2014-01-06,0,0,1,0,0,0,0,4,0,13,1,1
2014-01-07,0,0,0,1,0,0,0,4,0,14,0,0
2014-01-08,0,0,0,1,0,0,0,4,0,15,0,0
2014-01-09,0,0,0,1,0,0,0,4,0,16,0,0
2014-01-10,0,0,0,1,0,0,0,4,0,17,0,0
2014-01-13,0,0,0,1,0,0,0,5,0,18,0,0
2014-01-14,0,0,0,0,1,0,0,5,0,19,1,1
2014-01-15,0,0,0,0,1,0,0,5,0,20,1,1
2014-01-16,0,0,0,0,1,0,0,5,0,21,1,1
2014-01-17,0,0,0,0,1,0,0,5,0,22,1,1
2014-01-20,0,0,0,0,1,0,0,6,0,23,1,1
2014-01-21,0,0,0,0,0,0,0,6,1,-6,0,0
2014-01-22,0,0,0,0,0,0,0,6,1,-5,0,0
2014-01-23,0,0,0,0,0,0,0,6,1,-4,0,0
2014-01-24,0,0,0,0,0,0,0,6,1,-3,0,0
2014-01-27,0,0,0,0,0,0,0,7,1,-2,0,0
2014-01-28,1,0,0,0,0,0,0,7,0,-1,1,0
2014-01-29,1,0,0,0,0,0,0,7,0,0,1,0
2014-01-30,1,0,0,0,0,0,0,7,0,1,1,0
2014-01-31,1,0,0,0,0,0,0,7,0,2,1,0
2014-02-03,1,0,0,0,0,0,0,8,0,3,1,0
2014-02-04,0,1,0,0,0,0,0,8,0,4,0,0
2014-02-05,0,1,0,0,0,0,0,8,0,5,0,0
2014-02-06,0,1,0,0,0,0,0,8,0,6,0,0
2014-02-07,0,1,0,0,0,0,0,8,0,7,0,0
2014-02-10,0,1,0,0,0,0,0,9,0,8,0,0
2014-02-11,0,0,1,0,0,0,0,9,0,9,1,1
2014-02-12,0,0,1,0,0,0,0,9,0,10,1,1
2014-02-13,0,0,1,0,0,0,0,9,0,11,1,1
2014-02-14,0,0,1,0,0,0,0,9,0,12,1,1
2014-02-17,0,0,1,0,0,0,0,10,0,13,1,1
2014-02-18,0,0,0,1,0,0,0,10,0,14,0,0
2014-02-19,0,0,0,1,0,0,0,10,0,15,0,0
2014-02-20,0,0,0,1,0,0,0,10,0,16,0,0
2014-02-21,0,0,0,1,0,0,0,10,0,17,0,0
2014-02-24,0,0,0,1,0,0,0,11,0,18,0,0
2014-02-25,0,0,0,0,1,0,0,11,0,19,1,1
2014-02-26,0,0,0,0,1,0,0,11,0,20,1,1
2014-02-27,0,0,0,0,1,0,0,11,0,21,1,1
2014-02-28,0,0,0,0,1,0,0,11,0,22,1,1
2014-03-03,0,0,0,0,1,0,0,12,0,23,1,1
2014-03-04,0,0,0,0,0,1,0,12,0,24,0,0
2014-03-05,0,0,0,0,0,1,0,12,0,25,0,0
