"date","Mkt.RF","SMB","HML","RF"
2010-01-25,0.37,-0.21,0.33,0
2010-01-26,-0.45,-0.1,-0.48,0
2010-01-27,0.53,0.23,0.22,0
2010-01-28,-1.18,-0.68,0.43,0
2010-01-29,-0.97,-0.04,-0.42,0
2010-02-01,1.39,-0.21,0.88,0
2010-02-02,1.21,-0.4,0.64,0
2010-02-03,-0.49,0.06,-0.37,0
2010-02-04,-3.14,-0.13,-1.17,0
2010-02-05,0.29,-0.02,0.01,0
2010-02-08,-0.79,0.05,-0.36,0
2010-02-09,1.33,0.32,0.57,0
2010-02-10,-0.17,0.26,0.31,0
2010-02-11,1.13,0.73,0.05,0
2010-02-12,-0.07,0.99,0.15,0
2010-02-16,1.75,-0.31,1.01,0
2010-02-17,0.49,0.09,0.12,0
2010-02-18,0.62,0.09,0.01,0
2010-02-19,0.28,0.06,0.48,0
2010-02-22,-0.05,-0.05,0.6,0
2010-02-23,-1.24,0.32,-0.94,0
2010-02-24,0.94,-0.37,0.54,0
2010-02-25,-0.13,0.22,0.26,0
2010-02-26,0.13,-0.57,0.42,0
2010-03-01,1.2,1.23,0.04,0
2010-03-02,0.32,0.62,0.19,0
2010-03-03,0.09,0.16,0.09,0
2010-03-04,0.37,0.11,0.2,0
2010-03-05,1.43,0.41,0.63,0
2010-03-08,0.02,0.09,0.3,0
2010-03-09,0.21,0.25,-0.09,0
2010-03-10,0.53,0.07,0.71,0
2010-03-11,0.43,-0.08,-0.09,0
2010-03-12,-0.02,0.03,-0.26,0
2010-03-15,-0.02,-0.32,-0.45,0
2010-03-16,0.78,-0.15,0.57,0
2010-03-17,0.57,0.06,0.36,0
2010-03-18,-0.1,-0.16,-0.57,0
2010-03-19,-0.62,-0.61,-0.63,0
2010-03-22,0.67,0.87,0.04,0
2010-03-23,0.8,0.34,0.34,0
2010-03-24,-0.6,-0.63,0.8,0
2010-03-25,-0.26,-0.46,-0.25,0
2010-03-26,0.06,-0.11,0.26,0
2010-03-29,0.59,-0.1,0.2,0
2010-03-30,0.04,0.29,-0.45,0
2010-03-31,-0.36,-0.51,0.2,0
2010-04-01,0.75,-0.04,0.79,0.001
2010-04-05,0.95,1.04,0.85,0.001
2010-04-06,0.19,0.24,0.48,0.001
2010-04-07,-0.48,0.19,0.27,0.001
2010-04-08,0.31,-0.3,0.36,0.001
2010-04-09,0.66,-0.14,0.15,0.001
2010-04-12,0.23,0.27,0.07,0.001
2010-04-13,0.07,0.16,-0.07,0.001
2010-04-14,1.24,0.87,1.43,0.001
2010-04-15,0.11,0.59,-0.04,0.001
2010-04-16,-1.53,0.84,-1.88,0.001
2010-04-19,0.28,-0.87,-0.04,0.001
2010-04-20,0.88,0.65,0.58,0.001
2010-04-21,-0.06,0.72,0.18,0.001
2010-04-22,0.37,0.8,0.54,0.001
2010-04-23,0.7,0.33,0.59,0.001
2010-04-26,-0.43,0.49,-0.4,0.001
2010-04-27,-2.34,0.12,-1.35,0.001
2010-04-28,0.56,-0.74,0.7,0.001
2010-04-29,1.34,0.43,0.56,0.001
2010-04-30,-1.72,-0.97,-0.88,0.001
2010-05-03,1.36,0.62,0.6,0.001
2010-05-04,-2.5,-0.56,-0.92,0.001
2010-05-05,-0.75,-0.74,-0.59,0.001
2010-05-06,-3.27,-0.27,-0.9,0.001
2010-05-07,-1.75,-1.3,-0.5,0.001
2010-05-10,4.47,0.95,1.21,0.001
2010-05-11,-0.17,1.15,-0.14,0.001
2010-05-12,1.63,1.47,0.15,0.001
2010-05-13,-1.12,0.32,-0.32,0.001
2010-05-14,-1.92,-0.25,-0.76,0.001
2010-05-17,0.11,0.07,-0.59,0.001
2010-05-18,-1.41,-0.23,-0.96,0.001
2010-05-19,-0.63,-0.96,0.03,0.001
2010-05-20,-3.99,-0.9,-1.19,0.001
2010-05-21,1.44,-0.46,1.58,0.001
2010-05-24,-1.19,0.3,-0.89,0.001
2010-05-25,-0.03,-0.48,0.56,0.001
2010-05-26,-0.35,0.83,0.4,0.001
2010-05-27,3.45,0.63,1.61,0.001
2010-05-28,-1.18,0.1,-0.68,0.001
2010-06-01,-1.89,-1.02,-1.63,0.001
2010-06-02,2.63,0.18,0.41,0.001
2010-06-03,0.54,0.72,-0.28,0.001
2010-06-04,-3.62,-1.22,-0.67,0.001
2010-06-07,-1.52,-1.09,-1.01,0.001
2010-06-08,0.91,-1.42,0.11,0.001
2010-06-09,-0.46,0.75,-0.2,0.001
2010-06-10,2.95,0.38,0.87,0.001
2010-06-11,0.62,0.95,0.05,0.001
2010-06-14,-0.06,0.65,-0.01,0.001
2010-06-15,2.36,0.07,0.89,0.001
2010-06-16,-0.11,-0.19,-0.31,0.001
2010-06-17,0.08,-0.14,-0.49,0.001
2010-06-18,0.13,-0.03,0.24,0.001
2010-06-21,-0.47,-0.55,-0.02,0.001
2010-06-22,-1.63,-0.34,-0.74,0.001
2010-06-23,-0.29,-0.04,0.22,0.001
2010-06-24,-1.65,0.14,-0.9,0.001
2010-06-25,0.48,1.03,1.07,0.001
2010-06-28,-0.23,-0.02,-0.77,0.001
2010-06-29,-3.23,-0.64,-1.29,0.001
2010-06-30,-0.98,0.05,-0.34,0.001
2010-07-01,-0.4,-0.31,-0.43,0.001
2010-07-02,-0.5,-0.3,-0.44,0.001
2010-07-06,0.33,-1.99,0.11,0.001
2010-07-07,3.17,0.05,0.43,0.001
2010-07-08,1,0.58,0,0.001
2010-07-09,0.81,0.67,0.61,0.001
2010-07-12,-0.11,-1.18,0.11,0.001
2010-07-13,1.76,1.61,0.63,0.001
2010-07-14,-0.04,-0.15,-0.81,0.001
2010-07-15,0.02,-0.88,-0.13,0.001
2010-07-16,-2.94,-0.55,-0.93,0.001
2010-07-19,0.54,-0.16,-0.2,0.001
2010-07-20,1.23,0.66,0.05,0.001
2010-07-21,-1.3,-0.39,-0.44,0.001
2010-07-22,2.37,1.24,0.58,0.001
2010-07-23,1.05,1.45,-0.31,0.001
2010-07-26,1.23,0.88,0.15,0.001
2010-07-27,-0.23,-0.33,0.35,0.001
2010-07-28,-0.82,-0.88,0.04,0.001
2010-07-29,-0.36,0.3,0.64,0.001
2010-07-30,0.06,0.05,-0.21,0.001
