Macrotrends Data Download

CAC 40 Index - 27 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1990-03-01,1832.0000
1990-03-02,1860.0000
1990-03-05,1874.0000
1990-03-06,1872.0000
1990-03-07,1880.0000
1990-03-08,1917.0000
1990-03-09,1921.0000
1990-03-12,1912.0000
1990-03-13,1924.0000
1990-03-14,1946.0000
1990-03-15,1964.0000
1990-03-16,1958.0000
1990-03-19,1936.0000
1990-03-20,1925.0000
1990-03-21,1938.0000
1990-03-22,1914.0000
1990-03-23,1937.0000
1990-03-26,1964.0000
1990-03-27,1946.0000
1990-03-28,1939.0000
1990-03-29,1947.0000
1990-03-30,1972.0000
1990-04-02,1947.0000
1990-04-03,1985.0000
1990-04-04,2001.0000
1990-04-05,2028.0000
1990-04-06,2070.0000
1990-04-09,2083.0000
1990-04-10,2075.0000
1990-04-11,2103.0000
1990-04-12,2117.0000
1990-04-17,2126.0000
1990-04-18,2098.0000
1990-04-19,2097.0000
1990-04-20,2129.0000
1990-04-23,2090.0000
1990-04-24,2101.0000
1990-04-25,2092.0000
1990-04-26,2072.0000
1990-04-27,2066.0000
1990-04-30,2046.0000
1990-05-02,2066.0000
1990-05-03,2099.0000
1990-05-04,2099.0000
1990-05-07,2120.0000
1990-05-09,2103.0000
1990-05-10,2104.0000
1990-05-11,2092.0000
1990-05-14,2090.0000
1990-05-15,2070.0000
1990-05-16,2071.0000
1990-05-17,2104.0000
1990-05-18,2100.0000
1990-05-21,2092.0000
1990-05-22,2115.0000
1990-05-23,2123.0000
1990-05-25,2112.0000
1990-05-28,2114.0000
1990-05-29,2123.0000
1990-05-30,2121.0000
1990-05-31,2107.0000
1990-06-01,2087.0000
1990-06-05,2069.0000
1990-06-06,2045.0000
1990-06-07,2045.0000
1990-06-08,2021.0000
1990-06-11,2001.0000
1990-06-12,2006.0000
1990-06-13,2026.0000
1990-06-14,2028.0000
1990-06-15,2012.0000
1990-06-18,1988.0000
1990-06-19,2000.0000
1990-06-20,2004.0000
1990-06-21,2008.0000
1990-06-22,2032.0000
1990-06-25,2040.0000
1990-06-26,2053.0000
1990-06-27,2034.0000
1990-06-28,2038.0000
1990-06-29,2035.0000
1990-07-02,2035.0000
1990-07-03,2031.0000
1990-07-04,2032.0000
1990-07-05,2000.0000
1990-07-06,2002.0000
1990-07-09,2002.0000
1990-07-10,1963.0000
1990-07-11,1970.0000
1990-07-12,1975.0000
1990-07-13,1998.0000
1990-07-16,2015.0000
1990-07-17,2019.0000
1990-07-18,2029.0000
1990-07-19,2023.0000
1990-07-20,2031.0000
1990-07-23,1990.0000
1990-07-24,1995.0000
1990-07-25,1998.0000
1990-07-26,1984.0000
1990-07-27,1965.0000
1990-07-30,1955.0000
1990-07-31,1965.0000
1990-08-01,1960.0000
1990-08-02,1916.0000
1990-08-03,1869.0000
1990-08-06,1774.0000
1990-08-07,1812.0000
1990-08-08,1757.0000
1990-08-09,1780.0000
1990-08-10,1778.0000
1990-08-13,1721.0000
1990-08-14,1712.0000
1990-08-16,1723.0000
1990-08-17,1665.0000
1990-08-20,1611.0000
1990-08-21,1546.0000
1990-08-22,1586.0000
1990-08-23,1553.0000
1990-08-24,1617.0000
1990-08-27,1700.0000
1990-08-28,1680.0000
1990-08-29,1698.0000
1990-08-30,1723.0000
1990-08-31,1690.0000
1990-09-03,1644.0000
1990-09-04,1621.0000
1990-09-05,1638.0000
1990-09-06,1609.0000
1990-09-07,1619.0000
1990-09-10,1662.0000
1990-09-11,1654.0000
1990-09-12,1648.0000
1990-09-13,1646.0000
1990-09-14,1615.0000
1990-09-17,1604.0000
1990-09-18,1580.0000
1990-09-19,1570.0000
1990-09-20,1540.0000
1990-09-21,1543.0000
1990-09-24,1503.0000
1990-09-25,1485.0000
1990-09-26,1499.0000
1990-09-27,1524.0000
1990-09-28,1499.0000
1990-10-01,1541.0000
1990-10-02,1573.0000
1990-10-03,1567.0000
1990-10-04,1553.0000
1990-10-05,1552.0000
1990-10-08,1586.0000
1990-10-09,1551.0000
1990-10-10,1540.0000
1990-10-11,1542.0000
1990-10-12,1575.0000
1990-10-15,1599.0000
1990-10-16,1602.0000
1990-10-17,1616.0000
1990-10-18,1647.0000
1990-10-19,1644.0000
1990-10-22,1640.0000
1990-10-23,1676.0000
1990-10-24,1667.0000
1990-10-25,1646.0000
1990-10-26,1618.0000
1990-10-29,1628.0000
1990-10-30,1613.0000
1990-10-31,1645.0000
1990-11-02,1639.0000
1990-11-05,1620.0000
1990-11-06,1613.0000
1990-11-07,1583.0000
1990-11-08,1570.0000
1990-11-09,1573.0000
1990-11-12,1597.0000
1990-11-13,1610.0000
1990-11-14,1599.0000
1990-11-15,1598.0000
1990-11-16,1612.0000
1990-11-19,1633.0000
1990-11-20,1633.0000
1990-11-21,1627.0000
1990-11-22,1639.0000
1990-11-23,1640.0000
1990-11-26,1607.0000
1990-11-27,1606.0000
1990-11-28,1601.0000
1990-11-29,1607.0000
1990-11-30,1605.0000
1990-12-03,1645.0000
1990-12-04,1646.0000
1990-12-05,1660.0000
1990-12-06,1693.0000
1990-12-07,1691.0000
1990-12-10,1675.0000
1990-12-11,1665.0000
1990-12-12,1668.0000
1990-12-13,1659.0000
1990-12-14,1635.0000
1990-12-17,1606.0000
1990-12-18,1591.0000
1990-12-19,1589.0000
1990-12-20,1553.0000
1990-12-21,1564.0000
1990-12-26,1537.0000
1990-12-27,1529.0000
1990-12-28,1509.0000
1991-01-02,1505.0000
1991-01-03,1539.0000
1991-01-04,1547.0000
1991-01-07,1508.0000
1991-01-08,1503.0000
1991-01-09,1552.0000
1991-01-10,1507.0000
1991-01-11,1495.0000
1991-01-14,1441.0000
1991-01-15,1457.0000
1991-01-16,1457.0000
1991-01-17,1560.0000
1991-01-18,1560.0000
1991-01-21,1553.0000
1991-01-22,1548.0000
1991-01-23,1522.0000
1991-01-24,1553.0000
1991-01-25,1563.0000
1991-01-28,1565.0000
1991-01-29,1554.0000
1991-01-30,1582.0000
1991-01-31,1580.0000
1991-02-01,1578.0000
1991-02-04,1581.0000
1991-02-05,1606.0000
1991-02-06,1598.0000
1991-02-07,1598.0000
1991-02-08,1622.0000
1991-02-11,1637.0000
1991-02-12,1626.0000
1991-02-13,1636.0000
1991-02-14,1652.0000
1991-02-15,1670.0000
1991-02-18,1695.0000
1991-02-19,1701.0000
1991-02-20,1693.0000
1991-02-21,1710.0000
1991-02-22,1717.0000
1991-02-25,1745.0000
1991-02-26,1712.0000
1991-02-27,1731.0000
1991-02-28,1760.0000
1991-03-01,1747.0000
1991-03-04,1766.0000
1991-03-05,1800.0000
1991-03-06,1821.0000
1991-03-07,1832.0000
1991-03-08,1828.0000
1991-03-11,1797.0000
1991-03-12,1795.0000
1991-03-13,1781.0000
1991-03-14,1816.0000
1991-03-15,1800.0000
1991-03-18,1778.0000
1991-03-19,1741.0000
1991-03-20,1752.0000
1991-03-21,1771.0000
1991-03-22,1772.0000
1991-03-25,1773.0000
1991-03-26,1775.0000
1991-03-27,1797.0000
1991-03-28,1816.0000
1991-04-02,1827.0000
1991-04-03,1852.0000
1991-04-04,1836.0000
1991-04-05,1852.0000
1991-04-08,1847.0000
1991-04-09,1846.0000
1991-04-10,1817.0000
1991-04-11,1825.0000
1991-04-12,1821.0000
1991-04-15,1822.0000
1991-04-16,1803.0000
1991-04-17,1829.0000
1991-04-18,1816.0000
1991-04-19,1791.0000
1991-04-22,1767.0000
1991-04-23,1782.0000
1991-04-24,1782.0000
1991-04-25,1777.0000
1991-04-26,1774.0000
1991-04-29,1797.0000
1991-04-30,1779.0000
1991-05-02,1824.0000
1991-05-03,1832.0000
1991-05-06,1828.0000
1991-05-07,1830.0000
1991-05-10,1850.3000
1991-05-13,1834.5000
1991-05-14,1805.6000
1991-05-15,1802.6000
1991-05-16,1826.3000
1991-05-17,1827.0000
1991-05-21,1833.1000
1991-05-22,1831.1000
1991-05-23,1813.7000
1991-05-24,1804.8000
1991-05-27,1801.5000
1991-05-28,1794.1000
1991-05-29,1825.2000
1991-05-30,1837.1000
1991-05-31,1861.8000
1991-06-03,1865.7000
1991-06-04,1851.3000
1991-06-05,1862.9000
1991-06-06,1863.9000
1991-06-07,1852.5000
1991-06-10,1846.3000
1991-06-11,1874.8000
1991-06-12,1846.9000
1991-06-13,1847.2000
1991-06-14,1858.2000
1991-06-17,1844.9000
1991-06-18,1830.6000
1991-06-19,1798.2000
1991-06-20,1793.7000
1991-06-21,1806.6000
1991-06-24,1775.6000
1991-06-25,1775.5000
1991-06-26,1760.5000
1991-06-27,1768.0000
1991-06-28,1747.6000
1991-07-01,1772.8000
1991-07-02,1750.5000
1991-07-03,1718.0000
1991-07-04,1708.1000
1991-07-05,1723.1000
1991-07-08,1714.3000
1991-07-09,1734.5000
1991-07-10,1757.4000
1991-07-11,1754.0000
1991-07-12,1754.3000
1991-07-15,1759.8000
1991-07-16,1755.5000
1991-07-17,1758.1000
1991-07-18,1757.5000
1991-07-19,1763.5000
1991-07-22,1762.8000
1991-07-23,1768.9000
1991-07-24,1778.1000
1991-07-25,1780.1000
1991-07-26,1767.7000
1991-07-29,1757.9000
1991-07-30,1756.6000
1991-07-31,1754.7000
1991-08-01,1766.8000
1991-08-02,1766.5000
1991-08-05,1762.2000
1991-08-06,1759.5000
1991-08-07,1782.4000
1991-08-08,1789.5000
1991-08-09,1783.5000
1991-08-12,1780.4000
1991-08-13,1808.8000
1991-08-14,1820.3000
1991-08-19,1687.5000
1991-08-20,1725.6000
1991-08-21,1792.9000
1991-08-22,1819.1000
1991-08-23,1833.5000
1991-08-26,1853.4000
1991-08-27,1849.7000
1991-08-28,1851.8000
1991-08-29,1857.7000
1991-08-30,1864.3000
1991-09-02,1863.5000
1991-09-03,1873.2000
1991-09-04,1860.8000
1991-09-05,1868.7000
1991-09-06,1860.4000
1991-09-09,1855.9000
1991-09-10,1840.5000
1991-09-11,1842.6000
1991-09-12,1861.2000
1991-09-13,1876.2000
1991-09-16,1878.3000
1991-09-17,1878.4000
1991-09-18,1869.4000
1991-09-19,1880.4000
1991-09-20,1885.5000
1991-09-23,1888.4000
1991-09-24,1885.2000
1991-09-25,1877.9000
1991-09-26,1876.5000
1991-09-27,1883.8000
1991-09-30,1880.6000
1991-10-01,1887.4000
1991-10-02,1878.3000
1991-10-03,1867.1000
1991-10-04,1851.9000
1991-10-07,1843.6000
1991-10-08,1848.1000
1991-10-09,1843.4000
1991-10-10,1843.6000
1991-10-11,1833.8000
1991-10-14,1833.4000
1991-10-15,1856.9000
1991-10-16,1863.4000
1991-10-17,1855.5000
1991-10-18,1864.2000
1991-10-21,1846.0000
1991-10-22,1836.8000
1991-10-23,1830.4000
1991-10-24,1831.6000
1991-10-25,1834.8000
1991-10-28,1852.1000
1991-10-29,1849.8000
1991-10-30,1861.8000
1991-10-31,1856.7000
1991-11-04,1841.5000
1991-11-05,1846.9000
1991-11-06,1836.1000
1991-11-07,1838.6000
1991-11-08,1857.6000
1991-11-12,1858.4000
1991-11-13,1846.8000
