Macrotrends Data Download

DAX 30 Index - 27 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1990-11-26,1443.2000
1990-11-27,1415.3000
1990-11-28,1420.6000
1990-11-29,1418.9000
1990-11-30,1441.2000
1990-12-03,1462.6000
1990-12-04,1446.3000
1990-12-05,1471.0000
1990-12-06,1504.7000
1990-12-07,1512.8000
1990-12-10,1504.8000
1990-12-11,1492.7000
1990-12-12,1517.2000
1990-12-13,1517.8000
1990-12-14,1522.4000
1990-12-17,1475.9000
1990-12-18,1477.4000
1990-12-19,1457.2000
1990-12-20,1409.3000
1990-12-21,1414.9000
1990-12-27,1410.9000
1990-12-28,1398.2000
1991-01-02,1366.1000
1991-01-03,1366.7000
1991-01-04,1396.1000
1991-01-07,1358.2000
1991-01-08,1354.0000
1991-01-09,1375.2000
1991-01-10,1383.4000
1991-01-11,1382.3000
1991-01-14,1327.8000
1991-01-15,1325.6000
1991-01-16,1322.7000
1991-01-17,1422.7000
1991-01-18,1405.1000
1991-01-21,1390.2000
1991-01-22,1375.1000
1991-01-23,1358.8000
1991-01-24,1375.2000
1991-01-25,1382.1000
1991-01-28,1382.7000
1991-01-29,1380.3000
1991-01-30,1400.7000
1991-01-31,1420.1000
1991-02-01,1426.5000
1991-02-04,1435.0000
1991-02-05,1438.9000
1991-02-06,1428.7000
1991-02-07,1436.3000
1991-02-08,1467.8000
1991-02-11,1488.7000
1991-02-12,1468.9000
1991-02-13,1489.4000
1991-02-14,1486.5000
1991-02-15,1531.2000
1991-02-18,1572.6000
1991-02-19,1587.1000
1991-02-20,1567.3000
1991-02-21,1566.3000
1991-02-22,1582.5000
1991-02-25,1601.2000
1991-02-26,1558.2000
