Macrotrends Data Download

S&amp;P 500 vs Fed Funds Rate

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1954-07-01,30.88,0.80
1954-08-01,29.83,1.22
1954-09-01,32.31,1.07
1954-10-01,31.68,0.85
1954-11-01,34.24,0.83
1954-12-01,35.98,1.28
1955-01-01,36.63,1.39
1955-02-01,36.76,1.29
1955-03-01,36.58,1.35
1955-04-01,37.96,1.43
1955-05-01,37.91,1.43
1955-06-01,41.03,1.64
1955-07-01,43.52,1.68
1955-08-01,43.18,1.96
1955-09-01,43.67,2.18
1955-10-01,42.34,2.24
1955-11-01,45.51,2.35
1955-12-01,45.48,2.48
1956-01-01,43.82,2.45
1956-02-01,45.34,2.50
1956-03-01,48.48,2.50
1956-04-01,48.38,2.62
1956-05-01,45.20,2.75
1956-06-01,46.97,2.71
1956-07-01,49.39,2.75
1956-08-01,47.51,2.73
1956-09-01,45.35,2.95
1956-10-01,45.58,2.96
1956-11-01,45.08,2.88
1956-12-01,46.67,2.94
1957-01-01,44.72,2.84
1957-02-01,43.26,3.00
1957-03-01,44.11,2.96
1957-04-01,45.74,3.00
1957-05-01,47.43,3.00
1957-06-01,47.37,3.00
1957-07-01,47.91,2.99
1957-08-01,45.22,3.24
1957-09-01,42.42,3.47
1957-10-01,41.06,3.50
1957-11-01,41.72,3.28
1957-12-01,39.99,2.98
1958-01-01,41.70,2.72
1958-02-01,40.84,1.67
1958-03-01,42.10,1.20
1958-04-01,43.44,1.26
1958-05-01,44.09,0.63
1958-06-01,45.24,0.93
1958-07-01,47.19,0.68
1958-08-01,47.75,1.53
1958-09-01,50.06,1.76
1958-10-01,51.33,1.80
1958-11-01,52.48,2.27
