"date","sp500","sp500_d1","sp500_d2_test"
2018-01-30,2822.43,1.38,-3.21
2018-01-31,2823.81,-1.83,-58.02
2018-02-01,2821.98,-59.85,-53.34
2018-02-02,2762.13,-113.19,159.39
2018-02-05,2648.94,46.2,-59.68
2018-02-06,2695.14,-13.48,-87.18
2018-02-07,2681.66,-100.66,139.21
2018-02-08,2581,38.55,-2.1
2018-02-09,2619.55,36.45,-29.51
2018-02-12,2656,6.94,28.75
2018-02-13,2662.94,35.69,-3.12
2018-02-14,2698.63,32.57,-31.55
2018-02-15,2731.2,1.02,-16.98
2018-02-16,2732.22,-15.96,1.03
2018-02-20,2716.26,-14.93,17.56
2018-02-21,2701.33,2.63,40.71
2018-02-22,2703.96,43.34,-11.04
2018-02-23,2747.3,32.3,-67.62
2018-02-26,2779.6,-35.32,4.87
2018-02-27,2744.28,-30.45,-5.71
2018-02-28,2713.83,-36.16,49.74
2018-03-01,2677.67,13.58,16.11
2018-03-02,2691.25,29.69,-22.51
2018-03-05,2720.94,7.18,-8.5
2018-03-06,2728.12,-1.32,13.49
2018-03-07,2726.8,12.17,35.43
2018-03-08,2738.97,47.6,-51.15
2018-03-09,2786.57,-3.55,-14.16
2018-03-12,2783.02,-17.71,1.88
2018-03-13,2765.31,-15.83,13.68
2018-03-14,2749.48,-2.15,6.83
2018-03-15,2747.33,4.68,-43.77
2018-03-16,2752.01,-39.09,43.11
2018-03-19,2712.92,4.02,-9.03
2018-03-20,2716.94,-5.01,-63.23
2018-03-21,2711.93,-68.24,12.81
2018-03-22,2643.69,-55.43,125.72
2018-03-23,2588.26,70.29,-116.22
2018-03-26,2658.55,-45.93,38.31
2018-03-27,2612.62,-7.62,43.49
2018-03-28,2605,35.87,-94.86
2018-03-29,2640.87,-58.99,91.56
2018-04-02,2581.88,32.57,-2.33
2018-04-03,2614.45,30.24,-12.09
2018-04-04,2644.69,18.15,-76.52
2018-04-05,2662.84,-58.37,67.06
2018-04-06,2604.47,8.69,35.02
2018-04-09,2613.16,43.71,-58.39
2018-04-10,2656.87,-14.68,36.48
2018-04-11,2642.19,21.8,-29.49
2018-04-12,2663.99,-7.69,29.23
2018-04-13,2656.3,21.54,7.01
2018-04-16,2677.84,28.55,-26.3
